Розділ,№,Де відкрити,Що зробити,Що маєш побачити,Вийшло?,Якщо ні — коротко що сталось
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",565,"Той екран, де зараз іде завантаження / запис / аналіз","Відкрий багато програм, повернутись на Bity на камері.",Камера не «мертва»,,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",566,"Той екран, де зараз іде завантаження / запис / аналіз",Утримувати збоку кнопка на Головній.,Після Siri Головна клікабельний,,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",567,"Той екран, де зараз іде завантаження / запис / аналіз",Баннер іншої додатку на камері.,Тап/свайп банера не вбиває скан,,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",568,"Той екран, де зараз іде завантаження / запис / аналіз",«Голосовий запис» log і чат мікрофон у AirPods.,Транскрипт є,,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",569,"Той екран, де зараз іде завантаження / запис / аналіз",Навушники потім динамік середині запису.,Не додаток вилетів,,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",570,"Той екран, де зараз іде завантаження / запис / аналіз","Switch Ring/Silent, запиши штрихкод.","Haptic може бути, звуку камери за політикою iOS",,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",571,"Той екран, де зараз іде завантаження / запис / аналіз","Увімкнути, фото-аналіз + чат.","Працює, може бути повільніше",,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",572,"Той екран, де зараз іде завантаження / запис / аналіз","Вимкнути Wi‑Fi, погана мережа, пошук і чат.","Лоадер, не вічний freeze; можна «Скасувати»/«Назад»",,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",573,"Той екран, де зараз іде завантаження / запис / аналіз",Wi‑Fi вимкнено під час chat надіслати.,"Помилка, повтор після on",,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",574,"Той екран, де зараз іде завантаження / запис / аналіз",Чат і штрихкод пошук продукту.,"Або ок, або зрозуміла помилка",,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",575,"Той екран, де зараз іде завантаження / запис / аналіз",Повернути телефон landscape.,Превʼю портретне (код лочить rotation) або не роз’їжджається,,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",576,"Той екран, де зараз іде завантаження / запис / аналіз",Landscape.,Layout не ламає ряд кнопок внизу / або лок портрета,,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",577,"Той екран, де зараз іде завантаження / запис / аналіз",Зроби так: Ротація на вікні знизу екран зі списком страв (олівець).,Шит живий,,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",578,"Той екран, де зараз іде завантаження / запис / аналіз",Якщо планшет: Slide Over / Split з Bity.,"Адаптив, не чорний",,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",579,"Той екран, де зараз іде завантаження / запис / аналіз",«Пошук» і чат.,Enter = пошук/надіслати або новий рядок — нотувати,,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",580,"Той екран, де зараз іде завантаження / запис / аналіз",Мікрофон на keyboard у пошук.,Текст у полі,,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",581,"Той екран, де зараз іде завантаження / запис / аналіз",Вставити куряча грудка.,Пошук після невелика пауза після друку,,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",582,"Той екран, де зараз іде завантаження / запис / аналіз",Довгий абзац меню.,«Надіслати» не додаток вилетів,,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",583,"Той екран, де зараз іде завантаження / запис / аналіз",Довгий натисни на хмарка повідомлення якщо вміє.,"Або системне copy, або немає — нотувати",,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",584,"Той екран, де зараз іде завантаження / запис / аналіз","Головна, камера, чат.",Додаток не вилетів,,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",585,"Той екран, де зараз іде завантаження / запис / аналіз","Увімкнути запис, пройти вікно «Записати прийом» (чотири кнопки).",Додаток не вилетів (рамка запису екрана ок),,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",586,"Той екран, де зараз іде завантаження / запис / аналіз",Дуже повільна мережа 30+ с.,Екран знову клікабельний,,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",587,"Той екран, де зараз іде завантаження / запис / аналіз",Двічі натисни кадр фото.,Один аналіз,,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",588,"Той екран, де зараз іде завантаження / запис / аналіз",Фото йде розпізнавання потім «Закрити».,"Повернення назад, наступне відкриття камери чисте",,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",589,"Той екран, де зараз іде завантаження / запис / аналіз",Чат «Надіслати» потім вкладка Головна потім AI.,Немає дубля повідомлення,,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",590,"Той екран, де зараз іде завантаження / запис / аналіз",Натисни віджета поки відкритий штрихкод.,"Додаток на передній план, не додаток вилетів",,
"29. Фото з галереї (звичайне, Live, скрін)",591,Галерея телефону з екрана камери або чату,Галерея фото-камері AI.,Аналіз ок,,
"29. Фото з галереї (звичайне, Live, скрін)",592,Галерея телефону з екрана камери або чату,Фото етикетки з кодом.,«Знайти» ок,,
"29. Фото з галереї (звичайне, Live, скрін)",593,Галерея телефону з екрана камери або чату,Зроби так: звичайне фото з айфона у чат attach.,Фото повідомлення + аналіз,,
"29. Фото з галереї (звичайне, Live, скрін)",594,Галерея телефону з екрана камери або чату,Зроби так: звичайне фото з айфона у екран зі списком страв (олівець).,Рядок з’являється,,
"29. Фото з галереї (звичайне, Live, скрін)",595,Галерея телефону з екрана камери або чату,Спереду/збоку з галереї звичайне фото з айфона.,Крок 2 / фініш,,
"29. Фото з галереї (звичайне, Live, скрін)",596,Галерея телефону з екрана камери або чату,Вибери Live як фото.,"Береться звичайне фото, не відео, аналіз ок",,
"29. Фото з галереї (звичайне, Live, скрін)",597,Галерея телефону з екрана камери або чату,Кнопка скріпки біля поля Файли потім картинка PNG їжі.,Приймає,,
"29. Фото з галереї (звичайне, Live, скрін)",598,Галерея телефону з екрана камери або чату,Зроби так: звичайне фото JPEG зі Файли.,Приймає,,
"29. Фото з галереї (звичайне, Live, скрін)",599,Галерея телефону з екрана камери або чату,Файли не-jpeg якщо вдасться.,"Або аналіз, або повідомлення, що це не фото — не додаток вилетів",,
"29. Фото з галереї (звичайне, Live, скрін)",600,Галерея телефону з екрана камери або чату,Зроби так: файл PDF у Файли.,"Помилка повідомлення, що це не фото",,
"29. Фото з галереї (звичайне, Live, скрін)",601,Галерея телефону з екрана камери або чату,Галерея — відео не в images filter.,Не обирається,,
"29. Фото з галереї (звичайне, Live, скрін)",602,Галерея телефону з екрана камери або чату,Галерея фото страви.,"Можна одне фото, не пачку",,
"29. Фото з галереї (звичайне, Live, скрін)",603,Галерея телефону з екрана камери або чату,Відкрий галерея потім «Скасувати».,Камера/чат як були,,
"29. Фото з галереї (звичайне, Live, скрін)",604,Галерея телефону з екрана камери або чату,"Налаштування телефону потім Фото потім Вибрані фото, дати 0, потім галерея.","Вікно вибору порожній/обмежений, не додаток вилетів",,
"29. Фото з галереї (звичайне, Live, скрін)",605,Галерея телефону з екрана камери або чату,Після доступ лише до вибраних фото дати конкретний альбом.,Наступний вікно вибору бачить,,
"29. Фото з галереї (звичайне, Live, скрін)",606,Галерея телефону з екрана камери або чату,Навести QR-код (URL/текст).,Скан може зчитати QR-код; пошук продукту продукту ймовірно не спрацює у підказка — не додаток вилетів,,
"29. Фото з галереї (звичайне, Live, скрін)",607,Галерея телефону з екрана камери або чату,Короткий код на пачці.,«Знайти» або помилка «не знайдено»,,
"29. Фото з галереї (звичайне, Live, скрін)",608,Галерея телефону з екрана камери або чату,Якщо є.,Скан,,
"29. Фото з галереї (звичайне, Live, скрін)",609,Галерея телефону з екрана камери або чату,Зроби так: Порваний/блік код.,"Немає фейкового продукту, можна ще раз",,
"29. Фото з галереї (звичайне, Live, скрін)",610,Галерея телефону з екрана камери або чату,Галерея скрін штрихкода.,Камера знаходить код або помилка,,
"29. Фото з галереї (звичайне, Live, скрін)",611,Галерея телефону з екрана камери або чату,Обидва в фото страви.,Обидва аналізуються,,
"29. Фото з галереї (звичайне, Live, скрін)",612,Галерея телефону з екрана камери або чату,Дуже важке і дуже дрібне.,Немає пам’ять додаток вилетів,,
30. Великий шрифт і озвучення кнопок,613,"Налаштування телефону → Універсальний доступ, потім додаток","Увімкнути озвучення кнопок (для незрячих), пройти кільця, +, вода, олівець.","Усі кнопки озвучені, можна запиши пошук",,
30. Великий шрифт і озвучення кнопок,614,"Налаштування телефону → Універсальний доступ, потім додаток",Екран «Вітаємо в Bity» потім «Далі».,Картки цілі вибираються,,
30. Великий шрифт і озвучення кнопок,615,"Налаштування телефону → Універсальний доступ, потім додаток","Поле, «Надіслати», чіпи, історія.",Можна відправити фразу,,
30. Великий шрифт і озвучення кнопок,616,"Налаштування телефону → Універсальний доступ, потім додаток",Штрихкод.,"«Закрити» / ліхтарик / ввести вручну доступні, не не застрягає",,
30. Великий шрифт і озвучення кнопок,617,"Налаштування телефону → Універсальний доступ, потім додаток",Після тесту вимкнено.,Екран звичайний,,
30. Великий шрифт і озвучення кнопок,618,"Налаштування телефону → Універсальний доступ, потім додаток","Універсальний доступ потім Зменшити рух on, екран «Вітаємо в Bity» рухома картинка, екран «Розраховуємо», смужка сканування, конфеті.",Додаток не зависає; анімації коротші або грають,,
30. Великий шрифт і озвучення кнопок,619,"Налаштування телефону → Універсальний доступ, потім додаток",Зроби так: Bold Текст.,Кнопки не обрізані,,
30. Великий шрифт і озвучення кнопок,620,"Налаштування телефону → Універсальний доступ, потім додаток",Зроби так: Increase Contrast.,Текст читабельний світла тема і темна тема,,
30. Великий шрифт і озвучення кнопок,621,"Налаштування телефону → Універсальний доступ, потім додаток",Зроби так: Button Shapes.,Тапи площею ок,,
30. Великий шрифт і озвучення кнопок,622,"Налаштування телефону → Універсальний доступ, потім додаток",Зроби так: On/Off Labels.,Степпери води зрозумілі,,
30. Великий шрифт і озвучення кнопок,623,"Налаштування телефону → Універсальний доступ, потім додаток","Найбільший шрифт, Головна + екран «додати в щоденник» + чат.","Скрол, нічого не під ряд кнопок внизу намертво",,
30. Великий шрифт і озвучення кнопок,624,"Налаштування телефону → Універсальний доступ, потім додаток",Найменший.,Читабельно,,
30. Великий шрифт і озвучення кнопок,625,"Налаштування телефону → Універсальний доступ, потім додаток",Зроби так: Zoom / Larger Текст.,Відступи від вирізу екрана,,
30. Великий шрифт і озвучення кнопок,626,"Налаштування телефону → Універсальний доступ, потім додаток","Головна, камера.",Камера не інвертить критично / терпимо,,
30. Великий шрифт і озвучення кнопок,627,"Налаштування телефону → Універсальний доступ, потім додаток",Кільця макросів все одно зрозумілі (підписи є).,Не лише колір,,
30. Великий шрифт і озвучення кнопок,628,"Налаштування телефону → Універсальний доступ, потім додаток",Натисни + через AssistiveTouch.,Працює,,
30. Великий шрифт і озвучення кнопок,629,"Налаштування телефону → Універсальний доступ, потім додаток","IPhone, свайп смужка внизу екрана.",Шит/вкладки внизу не ламаються,,
30. Великий шрифт і озвучення кнопок,630,"Налаштування телефону → Універсальний доступ, потім додаток",За бажанням.,Не обов’язково блокує реліз,,
31. Дата і час на телефоні,631,"Налаштування телефону → Дата і час, потім додаток","Запиши їжу, змінити час пристрою на 00:05 наступного дня, відкрий додаток.","Головна «сьогодні» порожній, вчорашнє не в кільцях",,
31. Дата і час на телефоні,632,"Налаштування телефону → Дата і час, потім додаток",Після рядок 631 повернути дату.,Вчорашні записи знову на Головній,,
31. Дата і час на телефоні,633,"Налаштування телефону → Дата і час, потім додаток","Налаштування потім Дата і час потім часовий пояс, не чіпати «сьогодні» лог.",День не дублюється хаотично. Нотувати,,
31. Дата і час на телефоні,634,"Налаштування телефону → Дата і час, потім додаток",Постав дату переходу на літній час.,"Додаток не вилетів, нагадування не в минулому слоті дублем",,
31. Дата і час на телефоні,635,"Налаштування телефону → Дата і час, потім додаток",Формат часу системи.,Дати в зверху екрана/значках читабельні,,
31. Дата і час на телефоні,636,"Налаштування телефону → Дата і час, потім додаток",Формат числа і дати.,Ккал і дати з комою/крапкою не ламають поля ваги,,
31. Дата і час на телефоні,637,"Налаштування телефону → Дата і час, потім додаток","72,5 у «Записати вагу».","Приймає (код міняє, на.)",,
31. Дата і час на телефоні,638,"Налаштування телефону → Дата і час, потім додаток",Weekend Warrior: Сб/Нд.,"Weekday 1 і 7 = неділя/субота григоріанські, не «пн-вт»",,
31. Дата і час на телефоні,639,"Налаштування телефону → Дата і час, потім додаток",Запиши їжу до 09:00.,Прогрес Early Bird,,
31. Дата і час на телефоні,640,"Налаштування телефону → Дата і час, потім додаток",Перший лог о 10:00.,Цей день не значок «рання пташка»,,
31. Дата і час на телефоні,641,"Налаштування телефону → Дата і час, потім додаток",Уся їжа до 21:00.,День рахується,,
31. Дата і час на телефоні,642,"Налаштування телефону → Дата і час, потім додаток",Щось після 21:00.,День не йде в No Late Перекуси,,
31. Дата і час на телефоні,643,"Налаштування телефону → Дата і час, потім додаток",Дата +7 днів.,На Головній сьогодні немає; кільця сьогоднішні чисті,,
31. Дата і час на телефоні,644,"Налаштування телефону → Дата і час, потім додаток",Зроби так: Змінити дата ваги вчора.,«Зберегти» без помилки,,
31. Дата і час на телефоні,645,"Налаштування телефону → Дата і час, потім додаток",Зроби так: Тренування дата завтра.,«Зберегти» ок,,
31. Дата і час на телефоні,646,"Налаштування телефону → Дата і час, потім додаток",Далеко в 2018 і 2030.,Не додаток вилетів,,
32. Нагадування,647,Екран блокування або шторка сповіщень,"Дозвіл Дозволити, час сніданок 08:00 (підкрутити годинник).",Баннер з локалізованим title/body,,
32. Нагадування,648,Екран блокування або шторка сповіщень,Тап.,"Відкривається Bity (останній вкладка / Головна), не додаток вилетів",,
32. Нагадування,649,Екран блокування або шторка сповіщень,Натисни з екран блокування.,Розблокувати потім додаток,,
32. Нагадування,650,Екран блокування або шторка сповіщень,Сидіти в апці на 08:00.,Баннера може не бути — це ок; нотувати,,
32. Нагадування,651,Екран блокування або шторка сповіщень,Фокусування on.,Може не показатись — Пропустила якщо Фокусування,,
32. Нагадування,652,Екран блокування або шторка сповіщень,Підкрутити час на кожен слот.,"Різний текст, не один і той самий",,
32. Нагадування,653,Екран блокування або шторка сповіщень,Немає нотифікацій.,Повторно не спамить промпт,,
32. Нагадування,654,Екран блокування або шторка сповіщень,Зроби так: Налаштування потім Bity потім Сповіщення вимкнено потім on.,Після on можуть знову плануватись на коли знову відкрила додаток,,
32. Нагадування,655,Екран блокування або шторка сповіщень,Подивитись icon.,Так і має бути: значка числа може не бути,,
32. Нагадування,656,Екран блокування або шторка сповіщень,"Перезавантажити iPhone, дочекатись слота.",Нотифікація все ще приходить,,
33. Додаток Здоров’я,657,Додаток Здоров’я і цей додаток,«Далі» Здоров’я потім Дозволити all.,Далі ланцюжок екранів,,
33. Додаток Здоров’я,658,Додаток Здоров’я і цей додаток,Лог води 150 в Bity.,У Здоров’я Dietary Вода з’явився приклад,,
33. Додаток Здоров’я,659,Додаток Здоров’я і цей додаток,Лог продукту.,Харчування калорії в Здоров’я,,
33. Додаток Здоров’я,660,Додаток Здоров’я і цей додаток,«Записати вагу» 70 kg.,Зріст і вага Mass,,
33. Додаток Здоров’я,661,Додаток Здоров’я і цей додаток,«Записати тренування».,Тренування з ккал,,
33. Додаток Здоров’я,662,Додаток Здоров’я і цей додаток,"рядок 658, згорнути, повернутись.",На Головній не +150 вдруге,,
33. Додаток Здоров’я,663,Додаток Здоров’я і цей додаток,"Випити в Здоров’я / Вода додаток, відкрий Bity.","Головна вода зросла, очки нагород за цей імпорт немає",,
33. Додаток Здоров’я,664,Додаток Здоров’я і цей додаток,Додати вагу в Здоров’я.,«Записати вагу» екран/прогрес бачить; профіль вагу може оновитись,,
33. Додаток Здоров’я,665,Додаток Здоров’я і цей додаток,"Здоров’я у lb, Bity слайдер kg.",Числа консистентні після конверсії,,
33. Додаток Здоров’я,666,Додаток Здоров’я і цей додаток,Тренування з Watch/Здоров’я.,"Спалені калорії на Головній зріс, додаток не вилетів",,
33. Додаток Здоров’я,667,Додаток Здоров’я і цей додаток,Якщо є харчування samples.,"Рядок на Головній з позначкою зі Здоров’я, без очок нагород",,
33. Додаток Здоров’я,668,Додаток Здоров’я і цей додаток,"Видали water приклад в Здоров’я, коли знову відкрила додаток Bity.",Локальний запис з цим приклад id зникає,,
33. Додаток Здоров’я,669,Додаток Здоров’я і цей додаток,Після рядок 658 −.,Здоров’я приклад теж прибирається (deleteSamples),,
33. Додаток Здоров’я,670,Додаток Здоров’я і цей додаток,Перше налаштування пропустити Здоров’я; після головний екран коли знову відкрила додаток може спитати ще раз (якщо вже питав раніше).,Нотувати скільки разів система питала дозвіл,,
33. Додаток Здоров’я,671,Додаток Здоров’я і цей додаток,Якщо це не справжній телефон — пропусти цей рядок.,"Додаток не вилетів, синхронізація пропустити",,
33. Додаток Здоров’я,672,Додаток Здоров’я і цей додаток,"Turn вимкнено Bity in Здоров’я, запиши воду.","Додаток жива, write може не спрацює тихо",,
33. Додаток Здоров’я,673,Додаток Здоров’я і цей додаток,Вага в Здоров’я 20 днів тому.,Не імпортується (вікно 14 днів),,
"34. Клітковина, цукор, сіль",674,"Головна, погортай кружечки вліво (друга картка)","Новий день, картка 2.",Клітковина / цукор / сіль 0 / ціль,,
"34. Клітковина, цукор, сіль",675,"Головна, погортай кружечки вліво (друга картка)",Запиши вівсянку / ягоди / бобові (пошук або чат вівсянка 80г).,"Fiber > 0, ближче до цілі",,
"34. Клітковина, цукор, сіль",676,"Головна, погортай кружечки вліво (друга картка)",Кола або цукерка баркодом.,Sugar зріс,,
"34. Клітковина, цукор, сіль",677,"Головна, погортай кружечки вліво (друга картка)",Чіпси / суп / сільований продукт.,Sodium зріс (на Головній в грамах від мг),,
"34. Клітковина, цукор, сіль",678,"Головна, погортай кружечки вліво (друга картка)",Відкрий деталі після штрихкоду.,Є рядки харчування; після «Додати» картка Головна збігається порядком,,
"34. Клітковина, цукор, сіль",679,"Головна, погортай кружечки вліво (друга картка)",Фото страви потім Деталі.,Клітковина / цукор / сіль якщо модель дала,,
"34. Клітковина, цукор, сіль",680,"Головна, погортай кружечки вліво (друга картка)",Екран «додати в щоденник» натисни + щоб стало 2 порції.,Мікронутрити ×2,,
"34. Клітковина, цукор, сіль",681,"Головна, погортай кружечки вліво (друга картка)",Зменшити г.,Клітковина / цукор / сіль пропорційно,,
"34. Клітковина, цукор, сіль",682,"Головна, погортай кружечки вліво (друга картка)",Багато солодкого.,"Значення > цілі, додаток не вилетів",,
"34. Клітковина, цукор, сіль",683,"Головна, погортай кружечки вліво (друга картка)",Після рядок 676 скільки цукру я вже з'їв?.,Відповідь близько до картки 2,,
35. Свайпи і жести,684,Різні екрани додатку,«Пошук» потім ребром екрана назад.,Головна,,
35. Свайпи і жести,685,Різні екрани додатку,Штрихкод потім змахни.,"Головна, сесія стоп",,
35. Свайпи і жести,686,Різні екрани додатку,Вниз.,Дізміс,,
35. Свайпи і жести,687,Різні екрани додатку,Вниз посеред списку.,Дізміс,,
35. Свайпи і жести,688,Різні екрани додатку,Зроби так: Проведи пальцем об’єм склянки.,Закривається без збереження,,
35. Свайпи і жести,689,Різні екрани додатку,Зроби так: Проведи пальцем change дата.,Без зміни дати,,
35. Свайпи і жести,690,Різні екрани додатку,Зроби так: сіру рисочку зверху вікна натисни.,Нічого критичного,,
35. Свайпи і жести,691,Різні екрани додатку,На Головній ще раз Головна.,Не дублює VC,,
35. Свайпи і жести,692,Різні екрани додатку,Якщо є.,Повернення назад,,
35. Свайпи і жести,693,Різні екрани додатку,В полі пошук набрати і shake.,"IOS undo, додаток жива",,
35. Свайпи і жести,694,Різні екрани додатку,Над клавіатурою в чаті.,Не ховає «Надіслати» назавжди,,
35. Свайпи і жести,695,Різні екрани додатку,Явлуко потім яблуко в пошук.,Пошук по виправленому після apply,,
35. Свайпи і жести,696,Різні екрани додатку,В чат 🥗.,«Надіслати» ок,,
35. Свайпи і жести,697,Різні екрани додатку,Зроби так: Memoji stickers.,"Або як зображення не спрацює, або текст — не додаток вилетів",,
35. Свайпи і жести,698,Різні екрани додатку,Шукати Bity.,Відкриває додаток,,
35. Свайпи і жести,699,Різні екрани додатку,Зроби так: App Library / «Пошук».,Відкриває,,
35. Свайпи і жести,700,Різні екрани додатку,Відкрий Bity.,Якщо додаток уже налаштований на вкладках,,
35. Свайпи і жести,701,Різні екрани додатку,Якщо можеш.,"Вікно з повідомленням iOS, додаток не тихо падає на фото",,
35. Свайпи і жести,702,Різні екрани додатку,Вручну дата.,Щоденник по системній «сьогодні»,,
35. Свайпи і жести,703,Різні екрани додатку,"Українська мова телефону потім англійська мова телефону без повністю закрий додаток, потім повністю закрий додаток.",Після повністю закрий додаток усі стрінги нові,,
36. Сніданок / обід / вечеря різними способами,704,Головна і кнопка +,Метод: вікно «Записати прийом» (чотири кнопки) (очікувано завжди Перекуси). Сніданок=не застосовується — має впасти в Перекуси; Обід=не застосовується; Перекуси=Так; Вечеря=не застосовується.,Екран виглядає нормально. Додаток не вилетів і не зависає.,,
36. Сніданок / обід / вечеря різними способами,705,Головна і кнопка +,Метод: екран «додати в щоденник» прийом кнопки прийому після штрихкоду. Сніданок=Так; Обід=Так; Перекуси=Так; Вечеря=Так.,Екран виглядає нормально. Додаток не вилетів і не зависає.,,
36. Сніданок / обід / вечеря різними способами,706,Головна і кнопка +,Метод: екран «додати в щоденник» після фото. Сніданок=Так; Обід=Так; Перекуси=Так; Вечеря=Так.,Екран виглядає нормально. Додаток не вилетів і не зависає.,,
36. Сніданок / обід / вечеря різними способами,707,Головна і кнопка +,Метод: екран «додати в щоденник» після голосу. Сніданок=Так; Обід=Так; Перекуси=Так; Вечеря=Так.,Екран виглядає нормально. Додаток не вилетів і не зависає.,,
36. Сніданок / обід / вечеря різними способами,708,Головна і кнопка +,Метод: екран зі списком страв (олівець) + пошук. Сніданок=Так; Обід=Так; Перекуси=Так; Вечеря=Так.,Екран виглядає нормально. Додаток не вилетів і не зависає.,,
36. Сніданок / обід / вечеря різними способами,709,Головна і кнопка +,Метод: Чат з явною назвою прийому. Сніданок=«на сніданок …»; Обід=«на обід …»; Перекуси=«снек …»; Вечеря=«на вечерю …».,Екран виглядає нормально. Додаток не вилетів і не зависає.,,
37. Увімкнути камеру в Налаштуваннях телефону,710,Налаштування телефону → цей додаток → дозволи,Відхилити на баркоді потім Налаштування потім Bity потім Камера on потім повернутись.,Камера запрацювала без реінсталу,,
37. Увімкнути камеру в Налаштуваннях телефону,711,Налаштування телефону → цей додаток → дозволи,«Голосовий запис» потім Налаштування мікрофон on.,Запис ок,,
37. Увімкнути камеру в Налаштуваннях телефону,712,Налаштування телефону → цей додаток → дозволи,Галерея потім Налаштування.,Вікно вибору бачить фото,,
37. Увімкнути камеру в Налаштуваннях телефону,713,Налаштування телефону → цей додаток → дозволи,"Налаштування Сповіщення on, коли знову відкрила додаток Bity.",Слоти можуть з’явитись,,
37. Увімкнути камеру в Налаштуваннях телефону,714,Налаштування телефону → цей додаток → дозволи,Якщо є.,Зрозуміла помилка,,
37. Увімкнути камеру в Налаштуваннях телефону,715,Налаштування телефону → цей додаток → дозволи,Якщо це не справжній телефон — пропусти цей рядок фото/штрихкод.,"CameraUnavailable alert, не чорний екран",,
37. Увімкнути камеру в Налаштуваннях телефону,716,Налаштування телефону → цей додаток → дозволи,Українська мова телефону мова.,Текст дозволу тексти з українського файлу додатку,,
38. Один звичайний день підряд,717,"Додаток з ранку до вечора, не видаляючи дані","Перше налаштування (якщо треба), вода +, чат вівсянка, early година.","Сніданок, вода, очки нагород, значок «рання пташка» якщо <9",,
38. Один звичайний день підряд,718,"Додаток з ранку до вечора, не видаляючи дані",Вікно «Записати прийом» (чотири кнопки) штрихкод батончика.,Перекуси +1,,
38. Один звичайний день підряд,719,"Додаток з ранку до вечора, не видаляючи дані",«Сканувати їжу» тарілки потім «Додати» потім Обід кнопка прийому.,"Обід, білки / жири / вуглеводи, клітковина якщо є",,
38. Один звичайний день підряд,720,"Додаток з ранку до вечора, не видаляючи дані",Чат замінити гарнір потім «Застосувати».,Ккал зміна,,
38. Один звичайний день підряд,721,"Додаток з ранку до вечора, не видаляючи дані","Олівець Обід потім порція, додай огірок, видалити один рядок.",Головна збіг,,
38. Один звичайний день підряд,722,"Додаток з ранку до вечора, не видаляючи дані","Склянка 250, +×2, чат 500 мл «Підтвердити», −.",Останній знявся 500,,
38. Один звичайний день підряд,723,"Додаток з ранку до вечора, не видаляючи дані","Вага, прогулянка 30 хв 200 ккал, фото спереду+збоку.","Спалені калорії, очки нагород, фото steps",,
38. Один звичайний день підряд,724,"Додаток з ранку до вечора, не видаляючи дані","«скільки ще ккал», підказки страви, «Записати» вечерю.","Залишок калорій, Вечеря",,
38. Один звичайний день підряд,725,"Додаток з ранку до вечора, не видаляючи дані",Якщо ще треба.,Вечеря рядки,,
38. Один звичайний день підряд,726,"Додаток з ранку до вечора, не видаляючи дані","Відкрити, натисни значок.",Прогрес не 0 після дня,,
38. Один звичайний день підряд,727,"Додаток з ранку до вечора, не видаляючи дані","Додати, подивитись числа проти Головна.",Збіг або відомий lag оновлення віджета,,
38. Один звичайний день підряд,728,"Додаток з ранку до вечора, не видаляючи дані","Вбити, відкрий.",Усе на місці,,
38. Один звичайний день підряд,729,"Додаток з ранку до вечора, не видаляючи дані","Зміни тему і мову, повністю закрий додаток.","Немає ключів, контраст",,
38. Один звичайний день підряд,730,"Додаток з ранку до вечора, не видаляючи дані","Режим польоту (без інтернету), чат і пошук.",Fail м’яко; логи локальні (вода +) ок,,
38. Один звичайний день підряд,731,"Додаток з ранку до вечора, не видаляючи дані",Підкрутити серія днів 21:00.,"Баннер, натисни відкриває додаток",,
